2006-02-21,15987
2006-01-23,18697
2006-02-12,12415
2006-01-08,18506
2006-01-06,19553
2006-02-06,15667
2006-01-25,18565
2006-02-27,16188
2006-01-10,18541
2006-02-10,15976
2006-01-21,15742
2006-02-23,16372
2006-02-25,13724
2006-01-27,19391
2006-02-08,15341
2006-01-04,18869
2006-01-03,19290
2006-01-29,18063
2006-01-18,18055
2006-02-18,13887
2006-02-16,16603
2006-01-12,19059
2006-02-04,12932
2006-02-20,16341
2006-01-16,19225
2006-01-31,18377
2006-01-01,17618
2006-02-02,15711
2006-01-14,15797
2006-02-14,15780
2006-02-24,16292
2006-01-20,19132
2006-02-09,15959
2006-01-11,18384
2006-01-05,19534
2006-02-07,15246
2006-01-26,19341
2006-02-26,15410
2006-01-09,19483
2006-02-11,12719
2006-01-22,17816
2006-02-22,15715
2006-02-28,15632
2006-01-24,18513
2006-02-05,14968
2006-01-07,16236
2006-01-30,18860
2006-01-17,18403
2006-02-19,15674
2006-02-13,15455
2006-01-15,18042
2006-02-01,15208
2006-01-02,19156
2006-02-17,16738
2006-01-19,19304
2006-01-28,15800
2006-02-03,15606
2006-01-13,18778
2006-02-15,16324
